Unnamed: 0,Name,Code,Sector,Industry,Price,Change%,Volume,MCap.(M),Long Name
0,DYNAFNT,03046.KL,Technology,Software,1.0,0.0,0.0,108.0,DynaFront Holdings Berhad
1,JISHAN,03040.KL,Industrial Products & Services,Packaging Materials,0.6,0.0,0.0,141.09,Jishan Berhad
2,BARAKAH,7251.KL,Energy,"Energy, Infrastructure, Equipment & Services",0.04,0.0,1326.0,40.12,Barakah Offshore Petroleum Berhad
3,CARLSBG,2836.KL,Consumer Products & Services,Food & Beverages,18.72,1.2,587.0,5723.6,Carlsberg Brewery Malaysia Berhad
4,HEIM,3255.KL,Consumer Products & Services,Food & Beverages,27.12,0.6,1466.0,8192.9,Heineken Malaysia Berhad
5,NESTLE,4707.KL,Consumer Products & Services,Food & Beverages,73.36,-7.3,3032.0,17202.92,Nestle (Malaysia) Berhad
6,AAX,5238.KL,Consumer Products & Services,"Travel, Leisure & Hospitality",1.53,4.1,13007.0,684.02,AirAsia X Berhad
7,UCHITEC,7100.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",3.65,-1.4,8392.0,1693.38,Uchi Technologies Berhad
8,IDBTECH,03030.KL,Technology,Software,0.13,0.0,0.0,65.0,IDB Technologies Berhad
9,AVANGAAD,5259.KL,Transportation & Logistics,Transportation & Logistics Services,0.29,0.0,15247.0,384.61,Avangaad Berhad
10,RPLANET,03036.KL,Technology,Digital Services,0.305,0.0,0.0,51.95,RedPlanet Berhad
11,SLIC,03008.KL,Technology,Digital Services,0.64,0.0,0.0,81.28,
12,AJI,2658.KL,Consumer Products & Services,Food & Beverages,14.66,-0.1,221.0,891.31,Ajinomoto (Malaysia) Berhad
13,NPS,03006.KL,Health Care,Pharmaceuticals,0.215,0.0,0.0,32.04,Nova Pharma Solutions Berhad
14,JASKITA,8648.KL,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.29,3.6,80.0,130.37,Jasa Kita Berhad
15,BAT,4162.KL,Consumer Products & Services,Personal Goods,6.31,-1.3,2746.0,1801.69,British American Tobacco (Malaysia) Berhad
