Name,Code,Sector,Industry,Price,Change%,Volume,MCap.(M)
DYNAFNT,03046,Technology,Software,1.0,0.0,0.0,108.0
JISHAN,03040,Industrial Products & Services,Packaging Materials,0.6,0.0,0.0,141.09
BARAKAH,7251,Energy,"Energy, Infrastructure, Equipment & Services",0.04,0.0,1326.0,40.12
CARLSBG,2836,Consumer Products & Services,Food & Beverages,18.72,1.2,587.0,5723.6
HEIM,3255,Consumer Products & Services,Food & Beverages,27.12,0.6,1466.0,8192.9
NESTLE,4707,Consumer Products & Services,Food & Beverages,73.36,-7.3,3032.0,17202.92
AAX,5238,Consumer Products & Services,"Travel, Leisure & Hospitality",1.53,4.1,13007.0,684.02
UCHITEC,7100,Industrial Products & Services,"Industrial Materials, Components & Equipment",3.65,-1.4,8392.0,1693.38
IDBTECH,03030,Technology,Software,0.13,0.0,0.0,65.0
AVANGAAD,5259,Transportation & Logistics,Transportation & Logistics Services,0.29,0.0,15247.0,384.61
RPLANET,03036,Technology,Digital Services,0.305,0.0,0.0,51.95
SLIC,03008,Technology,Digital Services,0.64,0.0,0.0,81.28
AJI,2658,Consumer Products & Services,Food & Beverages,14.66,-0.1,221.0,891.31
NPS,03006,Health Care,Pharmaceuticals,0.215,0.0,0.0,32.04
JASKITA,8648,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.29,3.6,80.0,130.37
BAT,4162,Consumer Products & Services,Personal Goods,6.31,-1.3,2746.0,1801.69
RL,0219,Energy,"Energy, Infrastructure, Equipment & Services",0.35,1.4,151444.0,117.2
EUROSP,7094,Consumer Products & Services,Houshold Goods,2.62,0.0,0.0,116.38
CRESNDO,6718,Property,Property,1.28,1.6,1181.0,1081.78
MFGROUP,03015,Consumer Products & Services,Consumer Services,0.24,0.0,0.0,76.8
ENEST,03025,Consumer Products & Services,Consumer Services,0.14,0.0,0.0,65.1
M&G,5078,Transportation & Logistics,Transportation & Logistics Services,0.285,-1.7,8744.0,222.55
BAUTO,5248,Consumer Products & Services,Automotive,1.09,-2.7,22762.0,1277.67
HUPSENG,5024,Consumer Products & Services,Food & Beverages,1.01,0.0,10998.0,808.0
BURSA,1818,Financial Services,Other Financials,7.8,0.0,22417.0,6312.53
FBBHD,03026,Industrial Products & Services,Industrial Services,0.35,0.0,0.0,75.6
HUMEIND,5000,Industrial Products & Services,Building Materials,2.8,0.4,2457.0,2031.36
RGB,0037,Consumer Products & Services,"Travel, Leisure & Hospitality",0.39,2.6,63039.0,603.82
SMRT,0117,Technology,Digital Services,0.97,-3.0,3001.0,441.59
ADB,0276,Technology,Software,0.98,0.5,4964.0,539.49
WELLCAL,7231,Industrial Products & Services,"Industrial Materials, Components & Equipment",1.47,-1.3,2845.0,731.98
KEYFIELD,5321,Energy,"Energy, Infrastructure, Equipment & Services",1.86,-5.6,33220.0,1495.68
AMWAY,6351,Consumer Products & Services,Retailers,6.32,-0.2,700.0,1038.92
BNASTRA,7195,Construction,Construction,1.75,0.6,6320.0,1907.51
TEOSENG,7252,Consumer Products & Services,Agricultural Products,1.04,1.0,7152.0,624.02
ALPHA,0303,Health Care,Health Care Providers,0.305,1.7,15982.0,1482.3
MRDIY,5296,Consumer Products & Services,Retailers,1.41,2.2,133048.0,13347.54
GASMSIA,5209,Utilities,"Gas, Water & Multi-Utilities",4.12,-0.5,3261.0,5290.08
MPSOL,03019,Consumer Products & Services,Consumer Services,0.07,0.0,0.0,15.6
PECCA,5271,Industrial Products & Services,Auto Parts,1.46,1.4,46506.0,1097.92
LSH,03047,Construction,Construction,0.845,0.0,0.0,596.87
CHB,0291,Industrial Products & Services,Industrial Services,0.82,1.2,2370.0,304.83
NEXG,5216,Technology,Digital Services,0.26,2.0,945798.0,772.49
INFOTEC,0253,Technology,Digital Services,0.8,-5.9,4199.0,290.58
INNO,6262,Plantation,Plantation,1.85,5.7,11896.0,885.89
KGB,0151,Industrial Products & Services,Industrial Engineering,3.36,-1.2,4847.0,2421.25
CLOUDPT,0277,Technology,Digital Services,0.775,0.0,30644.0,411.99
FOCUSP,0157,Consumer Products & Services,Personal Goods,0.745,2.8,2039.0,344.19
CUSCAPI,0051,Technology,Software,0.195,2.6,12863.0,184.25
MYEG,0138,Technology,Digital Services,0.91,1.1,412326.0,6943.33
MAXIS,6012,Telecommunications & Media,Telecommunications Service Providers,3.41,-2.3,26898.0,26710.94
SDS,0212,Consumer Products & Services,Food & Beverages,1.05,5.0,1983.0,430.11
POLYDM,03031,Industrial Products & Services,"Industrial Materials, Components & Equipment",0.75,0.0,0.0,66.18
WPRTS,5246,Transportation & Logistics,Transportation & Logistics Services,4.64,0.9,9391.0,15822.4
ASTRA,03032,Consumer Products & Services,Food & Beverages,0.5,0.0,0.0,136.08
EDEN,7471,Utilities,Electricity,0.165,3.1,17491.0,83.38
SENFONG,5308,Industrial Products & Services,Industrial Services,0.865,0.0,6000.0,624.23
APOLLO,6432,Consumer Products & Services,Food & Beverages,6.79,0.6,64.0,543.2
MCLEAN,0167,Industrial Products & Services,Industrial Services,0.31,0.0,22547.0,76.33
99SMART,5326,Consumer Products & Services,Retailers,2.06,1.5,45638.0,17304.0
NORTHERN,0340,Energy,Renewable Energy,0.54,12.5,18704.0,213.62
