Title,News_Hyperlinks,Published_Date,Sector,Extracted_Entitites,Related_Stock,Img
"Ramssol, MCE, MN, United Plantations, IGB REIT, IGB Commercial REIT, Axis REIT, AME REIT, Sarawak Consolidated Industries, Iconic Worldwide",https://www.klsescreener.com/v2/news/view/1510767/ramssol-mce-mn-united-plantations-igb-reit-igb-commercial-reit-axis-reit-ame-reit-sarawak-consolidated-industries-iconic-worldwide,2025-04-23 23:07:51,Property,"Noun: Ramssol,  
Verb: (no clear verb in headline),  
Object: (no clear object in headline)","AMEREIT, AXREIT, ICONIC, ICONIC-WA, IGBB, MCEHLDG, MCEHLDG-WA, MNHLDG, MNHLDG-WA, RAMSSOL, RAMSSOL-WA, SCIB, SUNVIEW, UTDPLT",https://assets.theedgemarkets.com/Companies-in-the-news_theedgemalaysia_212.jpg
Fuel prices unchanged till April 30,https://www.klsescreener.com/v2/news/view/1510765/fuel-prices-unchanged-till-april-30,2025-04-23 22:51:21,Energy,"Noun: Fuel prices,  
Verb: unchanged,  
Object: April 30",,https://assets.theedgemarkets.com/MSY_0044_20240712111054_petrol_theedgemalaysia_3.jpg
Penangites rush to stock up on water ahead of scheduled cuts,https://www.klsescreener.com/v2/news/view/1510763/penangites-rush-to-stock-up-on-water-ahead-of-scheduled-cuts,2025-04-23 22:48:20,Consumer Products & Services,"Noun: Penangites,  
Verb: rush,  
Object: water",,https://assets.theedgemarkets.com/398622692-tap-water-px-Wed24052023_20240103202141_bloomberg_5.jpg
"UHY resigns as external auditor for Key Asic, UCrest",https://www.klsescreener.com/v2/news/view/1510761/uhy-resigns-as-external-auditor-for-key-asic-ucrest,2025-04-23 22:41:18,Financial Services,"Noun: UHY,  
Verb: resign,  
Object: external auditor","KEYASIC, UCREST",https://assets.theedgemarkets.com/UHY.jpg
Putrajaya Holdings partners Sunway Healthcare to develop advanced medical centre,https://www.klsescreener.com/v2/news/view/1510755/putrajaya-holdings-partners-sunway-healthcare-to-develop-advanced-medical-centre,2025-04-23 22:09:43,Health Care,"Noun: Putrajaya Holdings,  
Verb: partner,  
Object: medical centre",SUNWAY,https://assets.theedgemarkets.com/PJH_PJH.jpg
UOB expects Bank Negara to hold rates as inflation hits four-year low,https://www.klsescreener.com/v2/news/view/1510555/uob-expects-bank-negara-to-hold-rates-as-inflation-hits-four-year-low,2025-04-23 17:33:55,Financial Services,"Noun: UOB,  
Verb: expect,  
Object: rates",,https://www.klsescreener.com/v2/img/icon_navbar.png
"Loke: Malaysia, China to boost aviation ties via ‘twin hub’ cooperation",https://www.klsescreener.com/v2/news/view/1510559/loke-malaysia-china-to-boost-aviation-ties-via-twin-hub-cooperation,2025-04-23 17:31:23,Transportation & Logistics,"Noun: Malaysia, China,  
Verb: boost,  
Object: aviation ties",,https://assets.theedgemarkets.com/ANTHONY LOKE SIEW FOOK 5 LYY_20241122124711_theedgemalaysia_0.jpg
"FBM KLCI tops 1,500 mark as sentiment lifts across Asia",https://www.klsescreener.com/v2/news/view/1510547/fbm-klci-tops-1-500-mark-as-sentiment-lifts-across-asia,2025-04-23 17:20:00,Financial Services,"Noun: FBM KLCI,  
Verb: top,  
Object: 1,500 mark","BURSA, FBMKLCI, IDEAL, MPI, PCHEM, PPB, UTDPLT",https://www.klsescreener.com/v2/img/icon_navbar.png
"Malaysian stocks climb, KLCI retakes key level amid hope for easing trade tensions",https://www.klsescreener.com/v2/news/view/1510545/malaysian-stocks-climb-klci-retakes-key-level-amid-hope-for-easing-trade-tensions,2025-04-23 17:07:17,Financial Services,"Noun: KLCI,  
Verb: retake,  
Object: key level","FBMKLCI, PCHEM",https://assets.theedgemarkets.com/20240805 bursa SY_20240806091800_theedgemalaysia_9.jpg
"Improving NRW a priority, but higher tariffs also needed to sustain the water industry",https://www.klsescreener.com/v2/news/view/1510543/improving-nrw-a-priority-but-higher-tariffs-also-needed-to-sustain-the-water-industry,2025-04-23 17:05:00,Utilities,"Noun: NRW,  
Verb: improve,  
Object: tariffs",RANHILL,https://assets.theedgemarkets.com/PAAP_logo.jpg
